code;name;sitecode;lat;lon;start;stop;teff;lm;f;lyr
KNOAN;ANDRE KNOFEL;81166;52.5500;14.0167;2007-04-21 22:00:00;2007-04-21 23:13:00;1.2100;6.490;1.000;4
KNOAN;ANDRE KNOFEL;81166;52.5500;14.0167;2007-04-21 23:13:00;2007-04-22 00:39:00;1.3100;6.470;1.000;6
KNOAN;ANDRE KNOFEL;81166;52.5500;14.0167;2007-04-22 01:00:00;2007-04-22 02:10:00;1.1600;6.390;1.000;3
KNOAN;ANDRE KNOFEL;95797;52.5500;14.0167;2007-04-22 21:45:00;2007-04-22 22:15:00;0.5000;6.110;1.000;3
KNOAN;ANDRE KNOFEL;95797;52.5500;14.0167;2007-04-22 22:15:00;2007-04-22 22:40:00;0.4100;6.070;1.000;3
KNOAN;ANDRE KNOFEL;95797;52.5500;14.0167;2007-04-23 00:10:00;2007-04-23 00:40:00;0.5000;6.030;1.000;6
KNOAN;ANDRE KNOFEL;95797;52.5500;14.0167;2007-04-23 00:40:00;2007-04-23 01:05:00;0.4100;6.210;1.000;6
KNOAN;ANDRE KNOFEL;95797;52.5500;14.0167;2007-04-23 01:05:00;2007-04-23 01:40:00;0.5800;6.420;1.000;6
KNOAN;ANDRE KNOFEL;95797;52.5500;14.0167;2007-04-23 01:40:00;2007-04-23 02:10:00;0.5000;6.230;1.000;1
KRARC;Richard Kramer;74655;42.1089;-71.1811;2007-04-23 04:04:00;2007-04-23 04:42:00;0.6200;4.000;1.000;3
LINAI;Alister Ling;30921;52.6092;-114.3683;2007-04-22 07:35:00;2007-04-22 09:51:00;1.7200;6.200;1.000;6
MISKO;KOEN MISKOTTE;18747;52.3333;5.6667;2007-04-14 23:45:00;2007-04-15 00:45:00;1.0000;6.440;1.000;1
MISKO;KOEN MISKOTTE;18747;52.3333;5.6667;2007-04-15 00:45:00;2007-04-15 01:47:00;0.9500;6.380;1.000;2
MISKO;KOEN MISKOTTE;18890;52.3333;5.6667;2007-04-15 21:49:00;2007-04-15 22:09:00;0.3300;6.400;1.000;0
MISKO;KOEN MISKOTTE;18890;52.3333;5.6667;2007-04-15 22:30:00;2007-04-15 23:35:00;1.0800;6.460;1.000;1
MISKO;KOEN MISKOTTE;18890;52.3333;5.6667;2007-04-15 23:35:00;2007-04-16 00:40:00;1.0500;6.500;1.000;3
MISKO;KOEN MISKOTTE;18890;52.3333;5.6667;2007-04-16 00:40:00;2007-04-16 01:47:00;1.1200;6.500;1.000;3
